Date,Amount,Description,Category
12/19/2023,$8.12,Back Row West,Coffee
12/19/2023,$10.00,Opal,Transportation
12/19/2023,$14.20,Woolworths,Snacks
12/20/2023,$13.90,Sushi on Kent,Food
12/20/2023,$11.00,Roll'd veitnam food,Food
12/20/2023,$10.00,Opal,Transportation
12/21/2023,$10.00,Opal,Transportation
12/21/2023,$10.70,Sushi on Kent,Food
12/21/2023,$10.00,Opal,Transportation
12/21/2023,$28.00,Uwu,Personal
12/21/2023,$3.50,Woolworths,Snacks
12/22/2023,$44.10,Optus Billing,Personal
12/22/2023,$11.40,Sushi on Kent,Food
12/22/2023,$6.09,Back Row West,Coffee
12/22/2023,$18.27,Gnocchi Gnocchi Brothers,Food
12/22/2023,$7.07,Gong Cha,Coffee
12/23/2023,$25.00,Social Brew - Egg Benedict,Food
12/23/2023,$6.37,Social Brew,Coffee
12/23/2023,$6.75,Starbucks,Coffee
12/23/2023,$19.18,Doodee King,Food
12/23/2023,$12.50,"Woolworths - DishLiq, Powergard",FMCG
12/23/2023,$15.88,Nene Chicken,Food
12/24/2023,$13.90,Fishbowl,Food
12/24/2023,$7.61,Machi Machi,Coffee
12/24/2023,$31.66,"Woolworths - Rice, Eggs, Chickens Mama, Lime leaf",Food
12/25/2023,$7.78,Gong Cha,Coffee
12/25/2023,$18.00,Khaokang Maruay,Food
12/26/2023,$10.00,Opal,Transportation
12/26/2023,$7.78,Gong Cha,Coffee
12/27/2023,$10.00,Opal,Transportation
12/27/2023,$6.06,Gong Cha,Coffee
12/28/2023,$6.09,Eggshell,Coffee
